Song,Artist,Genre,Mood
Highway to Hell,AC/DC,Classic Rock N'Roll,Poignant
Hotel California,The Eagles,Classic Rock N'Roll,Hypnotic
Stairway to Heaven,Led Zeppelin,Classic Rock N'Roll,Intimate
My Generation,The Who,Classic Rock N'Roll,Groovy
All Along the Watchtower,Jimi Hendrix,Classic Rock N'Roll,Lively
Rock and Roll All Nite,Kiss,Classic Rock N'Roll,??????
Smells Like Teen Spirit,Nirvana,Classic Rock N'Roll,Energetic
Purple Rain,Prince,Classic Rock N'Roll,??????
Jailhouse Rock,Elvis Presley ,Classic Rock N'Roll,Angry
Beast of Burden,The Rolling Stones,Classic Rock N'Roll,Lively
Billie Jean,Michael Jackson,Pop,Playful
Yeah,Usher,Pop,Spiritual
Hollaback Girl,Gwen Stefani,Pop,Spiritual
Like a Prayer,Madonna,Pop,Angry
...Baby One More Time ,Britney Spears,Pop,??????
It's Gonna Be Me,*NSYNC,Pop,Bouncy
Everybody,Backstreet Boys,Pop,Groovy
Don't Stop Believing,Journey,Pop,Epic
Genie in a Bottle,Christina Aguilera,Pop,Elegant
Call Me Maybe,Carly Rae Jepsen,Pop,Carefree
Iron Man,Black Sabbath,Heavy Metal,Groovy
Enter Sandman,Metallica,Heavy Metal,Intense
Welcome to the Jungle,Guns N' Roses,Heavy Metal,Angry
Angel of Death,Slayer,Heavy Metal,Angry
Blackout,Scorpions,Heavy Metal,Funky
Mind Over Metal,Raven,Heavy Metal,Warm
Under the Blade,Twisted Sister,Heavy Metal,Spiritual
Screaming for Vengeance,Judas Priest,Heavy Metal,Poignant
At War With Satan,Venom,Heavy Metal,Manic
The Number of the Beast,Iron Maiden,Heavy Metal,Poignant
Thrift Shop,Macklemore,Rap,Light
Hot Boyz,Missy Elliott,Rap,Bouncy
Big Poppa,The Notorious B.I.G.,Rap,Epic
California Love,2Pac,Rap,Lively
Drop It Like It's Hot,Snoop Dogg,Rap,Hypnotic
Holy Grail,Jay Z,Rap,Lively
Live Your Life - Feat. Rihanna,T.I.,Rap,Groovy
I like Dem Girlz,Lil Jon,Rap,Peaceful
In Da Club,50 Cent,Rap,Epic
Lose Yourself,Eminem,Rap,Rebellious
Burnin' It Down,Jason Aldean,Country,Gleeful
Drink In My Hand,Eric Church,Country,Energetic
Crash My Party,Luke Bryan,Country,Reflective
Daddy Sang Bass,Johnny Cash,Country,Ambient
Live Like You Were Dying,Tim McGraw,Country,Groovy
Long Stretch of Love,Lady Antebellum,Country,Futuristic
Me and My Gang,Rascal Flatts,Country,Lively
Toes,Zac Brown Band,Country,Peaceful
Cruise,Florida Georgia Line,Country,Enthusiastic
Amazed,Lonestar,Country,Passionate
Take Five,Dave Brubeck,Jazz,Cool
Whiplash,Don Ellis,Jazz,Humorous
Caravan,Duke Ellington,Jazz,Dark
Upswinging,Tim Simonec,Jazz,Dark
My Favorite Things,John Coltrane,Jazz,Dark
So What,Miles Davis,Jazz,Dark
St. Thomas,Sonny Rollins,Jazz,Dark
"Straight, No Chaser",Thelonious Monk,Jazz,Dark
Django,The Modern Jazz Quartet,Jazz,Dark
Struttin' With Some Barbeque,Louis Armstrong,Jazz,Dark
"Symphony No. 5 in c minor, op. 67: I. Allegro con brio",Ludwig van Beethoven,Classical,Dark
"1812 Overture, op. 49",pyotr ilyich Tchaikovsky,Classical,Dark
"Mozart: serenade no. 13 in G major, K. 525, ""Eine Kleine Nachtmusik"": II. Romanze (Andante)",Wolfgang amadeus Mozart,Classical,
Toccata and Fugue in D Minor BWV. 565: Toccata,Johann sebastian Bach,Classical,
William Tell Overture,Gioachino Rossini,Classical,
Canon in D major,johann Pachelbel,Classical,
The Blue Danube,Johann Strauss II,Classical,
"ORFF: Carmina Burana: Introduction, fortuna imperatrix mundi, no. 1 ""0 Fortuna"" (Chorus)",Carl Orff,Classical,
Can - can from Orpheus In The Underworld,jacques Offenbach,Classical,
"Messiah - Part 2: ""Hallelujah""",George Frideric Handel,Classical,
(Sittin' On) The Dock of the Bay,Otis Redding,Soul,
Stand By Me,Ben E. King,Soul,
A Change is Gonna Come,Sam Cooke,Soul,
At Last,Etta James,Soul,
Let's Stay Together,Al Green,Soul,
Papa's Got a Brand New Bag,James Brown,Soul,
Georgia On My Mind,Ray Charles ,Soul,
Let's Get It On,Marvin Gaye,Soul,
Respect,Aretha Franklin,Soul,
"Signed, Sealed, Delivered",Stevie Wonder,Soul,
Wonderwall,Oasis,Alternative Rock,
Boulevard of Broken Dreams,Green Day,Alternative Rock,
Numb,Linkin Park,Alternative Rock,
Seven Nation Army,The White Stripes,Alternative Rock,
Dani California,Red Hot Chili Peppers,Alternative Rock,
HeavyDirtySoul,Twenty One Pilots,Alternative Rock,
Semi - Charmed Life,Third Eye Blind,Alternative Rock,
Bitter Sweet Symphony,The Verve,Alternative Rock,
Island In The Sun,Weezer,Alternative Rock,
Doin' Time,Sublime,Alternative Rock,
Ghosts N Stuff,Deadmau5,Techno/Electronic,
Call On Me,Eric Prydz,Techno/Electronic,
Around the World,Daft Punk,Techno/Electronic,
Scream and Shout,Will.i.am,Techno/Electronic,
Don't you Worry Child,Swedish House Mafia,Techno/Electronic,
Under Control,Calvin Harris,Techno/Electronic,
Titanium (feat. Sia),David Guetta,Techno/Electronic,
Let The Music Play,Shannon,Techno/Electronic,
Everytime We Touch,Cascada,Techno/Electronic,
Levels,Avicii,Techno/Electronic,
